Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","cda-iceberg-emr/ComputeSg/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","cda-iceberg-emr/ComputeSg/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","cda-iceberg-emr/EmrJobRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:s3:::cda-cda-iceberg-artifacts-111111111111-us-east-1/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:s3:::cda-cda-iceberg-logs-111111111111-us-east-1/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:s3:::test-source-bucket/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::<CdaTableBucket.TableBucketARN>/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:logs:us-east-1:111111111111:log-group:/aws/emr-serverless/*] CloudWatch Logs delivery for EMR Serverless monitoring. EMR creates one log group per application/job under /aws/emr-serverless/*; the group names are not known at deploy time. Scoped to this account, this region, and the /aws/emr-serverless/ prefix.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
